airport,latitude,longitude,municipality
MTJ,38.509794,-107.894242,Montrose CO
YAK,59.3012,-139.3937,Yakutat
MQT,46.353611,-87.395278,Marquette
IMT,45.8183611,-88.1145556,Iron Mountain
ESC,45.722778,-87.093611,Escanaba
ITO,19.721375,-155.048469,Hilo
FSM,35.336583,-94.367444,Fort Smith
GFK,47.949256,-97.176111,Grand Forks
TTN,40.276692,-74.813469,Trenton
BOS,42.364347,-71.005181,Boston
OAK,37.721278,-122.220722,Oakland
OMA,41.303167,-95.894069,Omaha
OGG,20.89865,-156.430458,Kahului
ICT,37.649944,-97.433056,Wichita
MCI,39.297606,-94.713905,Kansas City
MSN,43.139858,-89.337514,Madison
DLG,59.044667,-158.5055,Dillingham
PHX,33.434278,-112.011583,Phoenix
BGR,44.807444,-68.828139,Bangor
GGG,32.384014,-94.711486,Longview
GEG,47.619861,-117.533833,Spokane
SFO,37.618972,-122.374889,San Francisco
GNV,29.690056,-82.271778,Gainesville
MEM,35.042417,-89.976667,Memphis
LAX,33.942536,-118.408075,Los Angeles
CLE,41.411689,-81.849794,Cleveland
CVG,39.048836,-84.667822,Cincinnati
JNU,58.354972,-134.576278,Juneau
LFT,30.205278,-91.987611,Lafayette
EWR,40.6925,-74.168667,Newark
BOI,43.564361,-116.222861,Boise
GCK,37.927528,-100.724417,Garden City
MOT,48.259378,-101.280333,Minot
DAL,32.847111,-96.851778,Dallas
HLN,46.606806,-111.98275,Helena
LCH,30.126112,-93.223335,Lake Charles
KOA,19.738767,-156.045631,Kona
MYR,33.67975,-78.928333,Myrtle Beach
ACK,41.253053,-70.060181,Nantucket
DCA,38.852083,-77.037722,Washington
ACY,39.457583,-74.577167,Atlantic City
PUB,38.289085,-104.496572,Pueblo
ADQ,57.749967,-152.493856,Kodiak
FLL,26.072583,-80.15275,Fort Lauderdale
INL,48.566186,-93.403067,International Falls
SLC,40.788389,-111.977772,Salt Lake City
MDT,40.193494,-76.763403,Harrisburg
LNK,40.850971,-96.75925,Lincoln
LAN,42.7787,-84.587357,Lansing
IAH,29.984433,-95.341442,Houston
BFL,35.433598,-119.05677,Bakersfield
ELP,31.80725,-106.377583,El Paso
HRL,26.2285,-97.654389,Harlingen
CAE,33.938833,-81.119528,Columbia
PNS,30.473425,-87.186611,Pensacola
HOU,29.645419,-95.278889,Houston
PIT,40.491467,-80.232872,Pittsburgh
BRW,71.285446,-156.766003,Barrow
MIA,25.79325,-80.290556,Miami
SEA,47.449,-122.309306,Seattle
CHA,35.035278,-85.203808,Chattanooga
JAN,32.311167,-90.075889,Jackson
LGB,33.817722,-118.151611,Long Beach
IND,39.717331,-86.294383,Indianapolis
HPN,41.066959,-73.707575,White Plains
YUM,32.656578,-114.60598,Yuma
DLH,46.842091,-92.193649,Duluth
BET,60.779778,-161.838,Bethel
LIH,21.975983,-159.338958,Lihue
RIC,37.505167,-77.319667,Richmond
SHV,32.446629,-93.8256,Shreveport
CDV,60.491778,-145.477556,Cordova
ORF,36.894611,-76.201222,Norfolk
BPT,29.950833,-94.020694,Beaumont
SAV,32.127583,-81.202139,Savannah
OME,64.512203,-165.445247,Nome
SCC,70.19475,-148.465167,Deadhorse
SAT,29.533694,-98.469778,San Antonio
ROC,43.118866,-77.672389,Rochester
RDU,35.877639,-78.787472,Raleigh-durham
DAY,39.902375,-84.219375,Dayton
PHF,37.131894,-76.492989,Newport News
TUS,32.116083,-110.941028,Tucson
PVD,41.732581,-71.420383,Providence
BUR,34.200667,-118.358667,Burbank
DTW,42.212444,-83.353389,Detroit
TPA,27.975472,-82.53325,Tampa
HIB,47.3866,-92.838994,Hibbing
MAF,31.942528,-102.201914,Midland
GRB,44.485072,-88.129589,Green Bay
AGS,33.369944,-81.9645,Bush Field
ISN,48.177939,-103.642347,Williston
LIT,34.729444,-92.224306,Little Rock
SWF,41.504094,-74.104839,Newburgh
DFW,32.896828,-97.037997,Dallas-Fort Worth
MLB,28.102753,-80.645258,Melbourne
AUS,30.194528,-97.669889,Austin
TYS,35.810972,-83.994028,Knoxville
STL,38.748697,-90.370028,St. Louis
SPS,33.988797,-98.491894,Wichita Falls
ATL,33.636719,-84.428067,Atlanta
GRR,42.880833,-85.522806,Grand Rapids
FAT,36.776194,-119.71814,Fresno
BNA,36.124472,-86.678194,Nashville
LRD,27.54375,-99.461556,Laredo
OTZ,66.884678,-162.59855,Kotzebue
LGA,40.777245,-73.872608,New York
TLH,30.396528,-84.350333,Tallahassee
ACT,31.611289,-97.230519,Waco
SJT,31.35775,-100.496306,San Angelo
CIC,39.795383,-121.858422,Chico
BTV,44.471861,-73.153278,Burlington
JAX,30.494056,-81.687861,Jacksonville
DRO,37.151516,-107.75377,Durango
